district,club_name
2981,Aarupadai Veedu Medical College & Hospital
2981,A.D.M. College for Women
2981,A. G. Padmavathi College of Nursing
2981,Arvindar Arts and Science College
2981,A.V.C. Polytechnic College
2981,Avvaiyar Govt. College for Women
2981,A.V.V.M. Sri Pushpam College
2981,Best Arts and Science College
2981,Bharath College of Science & Management
2981,"Bharathidasan Government College for Women, Puducherry"
2981,Bhuvanagiri Ragavendhra
2981,"Bon Secours Arts & Science College For Women, Mannargudi"
2981,Bon Secours College for Women Thanjavur
2981,Bon Secours-Literati
2981,B.P.J College of Arts & Science
2981,CSM College of Arts & Science
2981,Cuddalore Waves
2981,Dhamapuram Adhinam Arts College
2981,"Dr. Kalam Polytechnic College, Avanam"
2981,Dr. M.S. Swaminathan Agricultural College and Research Institute Thanjavur
2981,Engineering and Technology Annamalai Nagar
2981,God City Kumbakonam
2981,Idhaya College for Women Kumbakonam
2981,Idhaya College of Arts & Science for Women
2981,Indira Gandhi Medical College & Research Institute
2981,Indirani College Of Nursing
2981,Kasturba Gandhi Nursing College
2981,Konagarnadu Sakthi
2981,Kurinjipadi
2981,Marutu Pandiyar College
2981,Meyyathur
2981,Mother Teresa Nursing College
2981,M.R.G. Arts College Mannargudi
2981,M R K Arts and Science College
2981,MVIT (MBA) Pondicherry
2981,National Institute of Technology Puducherry
2981,Pattukkottai
2981,PERUNTHALAIVAR KAMARAJAR COLLEGE OF EDUCATION
2981,Physiotherapy SBV University
2981,Pondicherry Alpha League
2981,Pondicherry Beachtown
2981,Pondicherry Celebrities
2981,Pondicherry Cosmos
2981,Pondicherry Engineering College
2981,Pondicherry River
2981,Pope John Paul II College of Education
2981,Prime College of Architecture and Planning
2981,PRIST
2981,PRPOLY
2981,"PS.PT MGR Govt Arts and Science College, Puthur"
2981,Saradha Gangadharan College
2981,Sir Issac Newton College of Engineering and Technology
2981,SJCET Thanjavur
2981,Srinivasa Subbaraya Government Polytechnic College
2981,Sri Raghavendra School of Nursing
2981,Sri Venkateshwaraa Medical College Hospital & Research Centre
2981,Sri Venkateshwara College of Engineering & Technology
2981,STET Women's College
2981,St. Joseph College of Arts and Science Cuddalore
2981,Thanjavur AVASC
2981,Vadalur Poosalikuppam
2981,Vaigarai Community College
2981,Vasanthamurugu Polytechnic College
2981,Venkateswara Educational Institutions
2981,Vivekanandha Arts & Science College for Women
2982,Angels College of Education
2982,Bharathi Women's College
2982,Dhirajlal Gandhi College of Technology
2982,Dr. Hahnemann Homeopathy Medical College & Research C.
2982,Government Arts and Science College Sendamangalam
2982,Hosur
2982,Hosur Midtown Youngsters
2982,Idappadi
2982,Jalakandapuram
2982,Jayarani Arts and Science College for Women
2982,Kailash Women's College
2982,Knowledge Institute of Technology
2982,K. S. Rangasamy College of Arts and Science
2982,K. S. Rangasamy College of Technology
2982,K. S. Rangasamy Institute of Technology
2982,K. S. R. College of Arts and Science for Women
2982,K. S. R. College of Engineering
2982,K. S. R. College of Nursing and Allied Health Science
2982,K. S. R. Institute for Engineering and Technology
2982,K. S. R. Institute of Dental Science and Research
2982,Mettur Dam City
2982,Mettur Government Arts and Science College
2982,Mettur Grand
2982,Muruga Polytechnic College
2982,Namakkal
2982,NKR Government Arts College for Women
2982,Phoenix Vizhigal
2982,Salem
2982,Salem Central
2982,Salem Gems
2982,Salem Gugai
2982,Salem Metropolis
2982,Salem Midtown
2982,Salem Polytechnic College
2982,Salem Royals
2982,Salem Vysya College
2982,Shri Sowdesvari Women’s College Salem
2982,SKS College of Nursing
2982,Sri Ayyappa Polytechnic
2982,Sri Vijay Vidyalaya College of Nursing
2982,"St. Peter's Medical College, Hospital & Research Institute"
2982,Theivanai Ammal College for Women
2982,The Kaavery Paramedical Institutions
2982,The Kavery Engineering College
2982,Thiruvalluvar Govt. Arts College
2982,Valapady
2982,Vanavasi
2982,Vinayaka Missions College of Pharmacy
3000,Agricultural Engineering College Kumulur
3000,Agriculture College Madurai
3000,Agri-Horti Trichy
3000,Allied Health Sciences TSRMMCHRC
3000,Annai Women's College
3000,Anna Nagar (OFT)
3000,Anna University
3000,Aranthangi
3000,Arasu College of Education for Women
3000,Arputha Arts & Science College
3000,Arul Anandar College
3000,Arulmigu Palaniandavar Arts College for Women
3000,Arulmigu Palaniandavar Polytechnic College
3000,Arulmurugan College of Engineering
3000,Arulmurugan Polytechnic College
3000,Bharathidasan Institute of Management
3000,Bharathidasan University
3000,BHC Midtown Sprinklers
3000,Bishop Heber College
3000,Boiler City Trichy
3000,Care College of Engineering
3000,Cauvery College for Women
3000,Chendur Institute of Hotel Management and Health Science Pudukkottai
3000,Chettinad College of Engineering & Tech.
3000,Dindigul Rock Fort
3000,Doctor's College of Nursing Pudukkottai
3000,E.M.G. Yadava Women's College
3000,Fatima College
3000,Glanis
3000,Government Arts and Science College for Women Kodaikanal
3000,Government Arts and Science College Kappalur
3000,Government Arts College-Karur
3000,Government Arts & Science College Kurumbalur
3000,Government College of Education Pudukkottai
3000,Government ITI Pudukkottai
3000,Government Polytechnic College Gandarvakottai
3000,G.T.N. Arts and Science College
3000,GTN Medical College of Naturopathy and Yogic Science Research Centre
3000,Holy Cross College
3000,Horticultural College and Research Institute Periyakulam
3000,Jamal Mohamed College
3000,Jamal Mohamed College for Women
3000,Jayaraj Annapackiam College for Women (Autonomous)
3000,J.R. Polytechnic College-Alundur
3000,KAPV Govt. Medical College
3000,Karur
3000,Karur Aram
3000,Karur Ilanthalir
3000,Karur Kings
3000,Karur Royals
3000,Karur Thullal Elite
3000,Karur United
3000,Karur Valalar College of Arts and Science for Women
3000,KDM Agri Crown
3000,KDM NATRIVA
3000,K.L.N. College of Engineering
3000,KMC College of Nursing
3000,Kongu College
3000,Kongu College of Arts & Science (women)
3000,Kongunadu College of Engineering and Technology
3000,K.P. National College of Arts & Science
3000,Lady Doak College Madurai
3000,Madurai Elite
3000,Madurai Gandhi NMR Subbaraman College for Women
3000,Madurai Institute of Social Sciences
3000,Madurai Kalasam
3000,Madurai Kamaraj University Evening College Dindigul
3000,Madurai Medical College
3000,Madurai North
3000,Madurai Pandyas
3000,Madurai Preceptors
3000,Madurai Sivakasi Nadars Pioneer Meenakshi Wom. Coll.
3000,Mahalakshmi Engineering College
